marca,data_post,data_geracao,headline,imagem,status,link_pasta
"provider-max","2026-06-13","2026-06-13 20:33","A RECEITA JÁ EXISTE. SÓ ESTÁ PARADA.","test-pm.png","revisado","https://drive.google.com/drive/folders/1jLA0jwFtTfEaMXNWN3DImy3AaRS28oE3"
"smark","2026-06-13","2026-06-13 21:02","OPERAÇÃO TRAVADA? 4 SINAIS DE QUE VOCÊ PRECISA DE IA","carrossel 5 frames","draft","https://drive.google.com/drive/folders/1SNQe928U0o7wKjaehEtgHxgeyOiKkdNj"
"smark","2026-06-13","2026-06-13 21:16","A BOLA MAIS TECNOLÓGICA DA HISTÓRIA","carrossel 3 frames","draft","https://drive.google.com/drive/folders/1brO4xm1daHV5kJ6uTca-cVNFFHNbszRn"
"provider-max","2026-06-13","2026-06-13 21:16","A BOLA DA COPA TEM IA. SUA BASE TAMBÉM PODE TER","carrossel 3 frames","draft","https://drive.google.com/drive/folders/1S4vwFpzUbYfiaQrjMOv0S-7hzNzBSBk8"
"elever-ai","2026-06-13","2026-06-13 21:17","NA COPA, SEGUNDOS DECIDEM TUDO. NO SEU FUNIL TAMBÉM","carrossel 3 frames","draft","https://drive.google.com/drive/folders/1KurnH3bGmjR2a07609MnJQN0gOdovnuM"
"smark","2026-06-13","2026-06-13 22:34","10X DE EFICIÊNCIA EM 3 MESES","carrossel 3 frames","draft","https://drive.google.com/drive/folders/1LLqP4J2yH95TkvePuoV4m0pHl0aFNooT"
"provider-max","2026-06-13","2026-06-13 22:39","SUA BASE PODE RENDER 10X MAIS","carrossel 3 frames","draft","https://drive.google.com/drive/folders/1h1ZY5VHBqf7IeepFKLIiwV_rPGyv8VuC"
"elever-ai","2026-06-13","2026-06-13 22:45","SUA PRÉ-VENDA 10X EM 3 MESES","carrossel 3 frames","draft","https://drive.google.com/drive/folders/1-OwpGdXxeobisc2ZhD7AwYKGXUwrWLir"
"smark","2026-06-14","2026-06-14 13:47","VOCÊ DEVORANDO TRABALHO MANUAL","01.png","draft","https://drive.google.com/drive/folders/1XAY8yyDuYPsgxApxYs_b8tsh8CwHequD"
"provider-max","2026-06-14","2026-06-14 13:47","ENQUANTO VOCÊ COME, A IA RENOVA SUA BASE","01.png","draft","https://drive.google.com/drive/folders/18w66Z4MA0zCj8N2HKJSrGAffxCRS6bOi"
"elever-ai","2026-06-14","2026-06-14 13:48","ENQUANTO VOCÊ COME, A IA ATENDE SEU LEAD","01.png","draft","https://drive.google.com/drive/folders/1KTAlrgb9-bvwKBQaTryDNgftZvLFAksQ"
"smark","2026-06-14","2026-06-14 14:12","6 IAS PRA CRIAR SITES E APPS","carrossel 7 frames","draft","https://drive.google.com/drive/folders/16IhVzzT3WYgy6dDT7N_X0c67wCCZKJk7"
"provider-max","2026-06-14","2026-06-14 14:14","6 TAREFAS DO ISP QUE A IA RESOLVE","carrossel 7 frames","draft","https://drive.google.com/drive/folders/1-Ei-sDCz6HT4FCCFXnpm0Li8JQhKtF-Q"
"elever-ai","2026-06-14","2026-06-14 14:17","6 TAREFAS DE PRE-VENDA QUE A IA ASSUME","carrossel 7 frames","draft","https://drive.google.com/drive/folders/1H_krdTyGTdsQWzbzPQUILwzZaM3HHsUc"
